date,frequency
3/20/2015,0
3/21/2015,0.033793474
3/22/2015,0.07171029
3/23/2015,0.00672284
3/24/2015,0.043922553
3/25/2015,0.070186447
3/26/2015,0.107296522
3/27/2015,0.105862316
3/28/2015,0.067497311
3/29/2015,0.050376479
3/30/2015,0.041771244
3/31/2015,0.057816422
4/1/2015,0.093581929
4/2/2015,0.053155253
4/3/2015,0.057099319
4/4/2015,0.050376479
4/5/2015,0.053513804
4/6/2015,0.035317318
